"[38.5, 49.6, 243.1]","[-4.6, 55.1, 244.8]","[19.0, 58.9, 239.3]","[19.1, 51.4, 240.7]","[29.3, 51.6, 241.7]","[45.6, 64.4, 247.7]","[4.4, 64.3, 236.8]","[31.3, 58.4, 239.5]","[-6.8, 69.1, 244.0]","[32.7, 71.8, 237.7]","[54.8, 68.7, 252.8]","[18.2, 72.1, 237.0]","[42.3, 55.5, 241.7]","[-0.6, 49.0, 245.7]","[9.0, 51.1, 242.1]","[32.8, 65.4, 238.6]","[6.1, 57.6, 238.6]","[18.0, 65.2, 233.9]","[43.8, 70.2, 243.8]","[-6.8, 62.4, 244.3]","[4.4, 71.3, 237.9]","[-15.9, 66.9, 252.8]"
"[38.7, 51.4, 243.8]","[-1.7, 56.7, 242.1]","[20.0, 60.1, 237.7]","[20.3, 52.7, 241.7]","[30.0, 53.6, 243.1]","[43.5, 65.3, 242.4]","[6.6, 66.8, 237.7]","[31.8, 60.4, 238.9]","[-2.8, 71.1, 243.1]","[32.1, 72.7, 237.2]","[51.9, 70.3, 250.2]","[19.1, 72.9, 234.1]","[41.5, 57.5, 240.7]","[1.7, 50.0, 242.4]","[10.6, 52.4, 240.2]","[32.9, 67.7, 238.9]","[8.3, 59.8, 238.4]","[19.7, 67.0, 234.5]","[42.8, 72.8, 245.0]","[-4.0, 64.0, 241.7]","[6.7, 73.1, 238.4]","[-11.6, 68.8, 249.0]"
"[40.0, 51.1, 244.8]","[-1.7, 57.8, 244.3]","[21.0, 60.5, 237.0]","[21.3, 52.9, 240.2]","[30.2, 52.4, 240.2]","[45.2, 66.7, 245.5]","[7.2, 67.3, 237.5]","[33.0, 60.6, 239.5]","[-2.8, 72.5, 242.1]","[33.7, 74.9, 240.7]","[52.7, 71.0, 248.5]","[20.3, 74.4, 235.4]","[43.3, 58.4, 244.3]","[1.7, 51.1, 244.8]","[11.2, 52.5, 240.9]","[34.0, 68.2, 238.9]","[8.8, 60.0, 237.2]","[20.4, 67.9, 235.9]","[44.0, 73.4, 244.8]","[-4.0, 65.4, 242.8]","[7.2, 74.0, 237.7]","[-12.2, 70.7, 249.5]"
"[39.3, 51.4, 240.7]","[-3.4, 58.0, 242.6]","[19.8, 61.4, 236.1]","[20.2, 53.6, 240.7]","[29.9, 53.9, 241.9]","[44.5, 67.0, 244.5]","[6.1, 68.1, 236.3]","[31.9, 61.9, 240.2]","[-4.6, 73.8, 244.3]","[32.3, 75.4, 238.6]","[52.5, 72.1, 250.2]","[19.2, 75.4, 235.2]","[42.8, 59.7, 245.0]","[0.6, 51.9, 246.0]","[10.1, 53.8, 241.4]","[32.9, 68.8, 238.9]","[7.2, 60.8, 238.2]","[19.2, 69.0, 235.7]","[43.5, 74.7, 245.5]","[-5.1, 66.1, 243.3]","[6.1, 74.7, 238.2]","[-13.5, 72.0, 252.0]"
"[39.5, 51.8, 245.5]","[-3.4, 58.5, 244.8]","[20.0, 61.9, 238.2]","[20.2, 53.6, 240.9]","[29.8, 53.8, 241.4]","[44.7, 67.3, 245.5]","[6.1, 68.7, 238.4]","[31.9, 61.8, 239.8]","[-4.6, 73.9, 244.8]","[32.6, 76.1, 240.7]","[53.2, 73.0, 253.6]","[19.4, 76.2, 237.7]","[43.1, 59.5, 246.7]","[0.6, 51.3, 245.7]","[10.1, 53.1, 240.9]","[32.8, 69.2, 238.2]","[7.2, 60.9, 238.4]","[19.3, 69.7, 236.3]","[43.5, 74.8, 245.7]","[-5.1, 66.0, 242.8]","[6.1, 75.8, 239.8]","[-14.3, 72.7, 254.6]"
"[39.1, 52.0, 246.5]","[-3.4, 57.8, 244.3]","[18.7, 60.8, 235.9]","[19.6, 52.9, 240.0]","[29.5, 53.6, 243.1]","[43.2, 66.3, 244.0]","[5.5, 67.6, 236.6]","[31.2, 61.1, 239.1]","[-5.1, 72.7, 244.5]","[32.0, 75.5, 240.7]","[52.5, 72.2, 252.8]","[18.1, 74.4, 235.4]","[41.5, 58.8, 243.6]","[-0.0, 51.3, 246.0]","[9.5, 53.0, 240.7]","[31.3, 67.2, 235.2]","[6.7, 60.5, 239.3]","[18.7, 68.5, 235.9]","[42.3, 73.4, 245.0]","[-5.7, 65.7, 244.0]","[5.5, 73.5, 236.1]","[-14.2, 71.1, 253.0]"
"[38.8, 51.4, 240.9]","[-3.4, 58.5, 244.8]","[19.3, 61.4, 236.1]","[20.2, 53.5, 240.2]","[30.0, 54.0, 242.6]","[44.0, 67.1, 245.0]","[5.5, 67.9, 235.7]","[31.9, 61.8, 240.0]","[-5.2, 74.3, 246.0]","[32.9, 77.0, 243.6]","[51.8, 71.9, 249.7]","[18.9, 76.6, 238.9]","[42.4, 58.5, 242.4]","[-0.0, 51.1, 244.8]","[10.1, 53.3, 241.7]","[33.0, 69.6, 239.8]","[7.2, 60.9, 238.4]","[19.2, 69.0, 235.9]","[42.8, 74.4, 244.5]","[-5.7, 66.4, 244.3]","[5.5, 75.2, 237.9]","[-14.1, 71.4, 252.0]"
"[38.6, 52.7, 247.0]","[-4.0, 57.9, 242.1]","[18.8, 61.7, 237.2]","[19.0, 53.4, 240.0]","[28.7, 53.8, 241.7]","[42.3, 66.3, 241.9]","[5.0, 68.5, 237.7]","[30.6, 61.6, 238.9]","[-5.7, 73.5, 245.3]","[31.1, 75.2, 237.9]","[51.8, 72.7, 252.3]","[18.3, 76.2, 237.5]","[40.9, 58.5, 240.0]","[-0.0, 50.9, 244.0]","[9.6, 53.2, 241.4]","[31.7, 69.3, 238.6]","[6.7, 60.9, 238.4]","[18.1, 69.0, 235.9]","[41.9, 74.9, 246.2]","[-6.3, 66.6, 245.0]","[5.0, 75.1, 239.3]","[-14.7, 71.4, 252.0]"
"[38.5, 51.2, 242.6]","[-3.4, 58.2, 243.6]","[18.7, 60.8, 236.1]","[19.5, 52.6, 238.9]","[29.0, 52.8, 239.5]","[43.7, 66.7, 243.6]","[5.5, 67.6, 236.6]","[31.3, 61.2, 239.8]","[-5.2, 73.9, 246.5]","[31.5, 75.0, 237.2]","[51.9, 72.1, 250.2]","[18.8, 75.5, 237.2]","[42.0, 58.7, 243.3]","[-0.0, 51.0, 244.5]","[9.5, 52.5, 240.7]","[31.8, 67.8, 235.4]","[7.2, 60.3, 238.2]","[18.7, 69.1, 236.1]","[42.7, 74.3, 244.0]","[-5.7, 66.7, 245.7]","[5.6, 74.9, 238.9]","[-14.3, 72.6, 256.2]"
"[39.0, 51.3, 246.0]","[-3.4, 57.7, 243.8]","[19.5, 61.0, 238.9]","[19.7, 53.2, 241.2]","[29.5, 53.6, 243.1]","[44.0, 66.6, 245.0]","[5.5, 67.1, 236.8]","[31.2, 60.5, 239.3]","[-4.6, 72.8, 245.0]","[32.0, 74.9, 240.5]","[52.3, 71.4, 252.0]","[18.6, 74.3, 235.0]","[42.0, 58.1, 243.1]","[-0.0, 50.7, 245.7]","[9.5, 52.4, 240.5]","[32.3, 68.3, 239.1]","[7.2, 59.9, 239.1]","[18.6, 68.1, 234.5]","[42.8, 73.3, 244.5]","[-5.7, 65.7, 244.0]","[5.5, 74.1, 237.9]","[-14.2, 71.5, 254.3]"
