"[-42.3, -2.9, 270.8]","[72.3, -33.3, 276.9]","[21.4, 8.4, 248.2]","[22.1, -11.6, 243.3]","[24.0, -36.1, 264.4]","[-23.4, -35.8, 271.4]","[24.1, -57.8, 265.0]","[23.6, -74.2, 253.3]","[96.1, -25.9, 296.5]","[-39.2, -26.9, 258.6]","[88.8, 1.6, 275.9]"
"[-40.9, -2.8, 269.9]","[73.1, -35.9, 277.5]","[21.9, 8.9, 247.5]","[23.3, -12.2, 243.3]","[24.4, -39.4, 261.9]","[-22.7, -37.5, 270.2]","[24.5, -63.4, 262.7]","[23.6, -85.8, 252.8]","[95.0, -29.3, 295.1]","[-38.4, -28.5, 257.3]","[88.4, 0.3, 274.7]"
"[-43.0, -1.6, 271.1]","[72.6, -36.0, 278.1]","[23.1, 7.8, 248.2]","[24.6, -13.5, 245.5]","[24.9, -39.2, 260.8]","[-24.8, -37.1, 272.0]","[24.4, -63.2, 261.6]","[23.7, -86.1, 253.8]","[94.2, -28.5, 294.7]","[-0.0, -0.0, 0.0]","[88.2, 0.3, 274.1]"
"[-45.3, -2.2, 273.5]","[74.3, -36.2, 279.4]","[22.6, 7.8, 248.5]","[23.1, -13.3, 241.9]","[24.6, -39.7, 263.9]","[-26.2, -37.4, 273.8]","[24.1, -64.0, 265.0]","[23.6, -86.4, 252.8]","[95.8, -28.6, 295.4]","[-0.0, -0.0, 0.0]","[90.0, 0.3, 275.6]"
"[-45.1, -2.9, 272.0]","[74.4, -36.3, 280.0]","[22.4, 7.8, 246.7]","[23.9, -13.4, 244.3]","[24.6, -39.1, 263.6]","[-26.9, -38.2, 275.0]","[24.0, -63.6, 263.6]","[23.6, -86.6, 253.3]","[96.0, -28.9, 298.3]","[-0.0, -0.0, 0.0]","[90.8, 0.3, 280.0]"
"[-45.3, -2.9, 273.5]","[74.8, -36.4, 281.3]","[21.9, 7.8, 247.0]","[23.1, -12.7, 242.1]","[24.0, -39.1, 264.1]","[-26.2, -37.5, 274.4]","[24.4, -63.2, 261.9]","[23.7, -86.7, 253.6]","[95.1, -28.6, 295.4]","[-45.0, -31.0, 279.4]","[89.2, 0.9, 275.3]"
"[-44.1, -2.8, 270.2]","[74.3, -35.5, 279.4]","[22.6, 7.8, 249.0]","[23.9, -13.4, 244.0]","[24.5, -39.0, 263.0]","[-25.5, -37.9, 272.9]","[24.3, -62.4, 260.8]","[24.3, -85.7, 254.3]","[0.0, -0.0, 0.0]","[-43.1, -29.5, 272.0]","[89.9, 1.0, 277.2]"
"[-44.5, -3.5, 272.6]","[74.4, -36.2, 279.7]","[22.0, 8.4, 248.0]","[23.9, -12.2, 243.8]","[24.4, -38.8, 261.6]","[-26.3, -38.1, 274.7]","[24.5, -62.9, 263.0]","[24.3, -86.1, 253.8]","[94.8, -28.5, 294.7]","[-0.0, -0.0, 0.0]","[88.4, 0.9, 274.7]"
"[-44.6, -2.9, 272.9]","[74.2, -36.1, 279.1]","[21.9, 7.8, 247.5]","[23.6, -13.6, 247.2]","[24.6, -39.1, 263.9]","[-26.2, -37.5, 274.4]","[24.6, -63.1, 263.9]","[23.7, -86.7, 253.8]","[95.5, -28.5, 294.7]","[-0.0, -0.0, 0.0]","[90.0, 1.0, 277.5]"
"[-44.6, -2.9, 272.9]","[72.6, -35.0, 275.6]","[22.6, 7.2, 248.0]","[23.8, -13.3, 243.1]","[24.6, -39.1, 263.9]","[-25.6, -37.4, 274.1]","[24.5, -62.8, 262.5]","[23.8, -86.0, 255.1]","[94.2, -28.3, 292.6]","[-0.0, -0.0, 0.0]","[87.7, 0.9, 272.6]"
"[-44.5, -2.2, 272.3]","[73.9, -36.0, 277.8]","[22.6, 7.8, 248.0]","[23.1, -13.3, 241.7]","[24.5, -38.9, 262.7]","[-26.2, -38.1, 274.4]","[24.0, -63.2, 264.4]","[23.7, -86.1, 253.6]","[0.0, -0.0, 0.0]","[-0.0, -0.0, 0.0]","[88.3, 0.9, 272.3]"
"[-44.5, -2.2, 272.6]","[74.2, -35.5, 279.1]","[22.6, 7.8, 248.0]","[23.9, -13.4, 244.3]","[24.6, -39.0, 263.3]","[-26.2, -37.4, 274.1]","[24.4, -62.6, 261.6]","[23.7, -86.7, 253.6]","[94.4, -28.4, 293.3]","[-0.0, -0.0, 0.0]","[89.4, 1.0, 275.9]"
"[-44.5, -2.2, 272.3]","[74.0, -36.1, 278.4]","[22.6, 7.8, 248.0]","[23.8, -13.3, 242.8]","[24.6, -39.0, 263.3]","[-26.2, -37.5, 274.4]","[24.5, -62.8, 262.5]","[23.7, -86.1, 253.6]","[96.0, -28.7, 296.1]","[-0.0, -0.0, 0.0]","[89.3, 0.9, 275.6]"
"[-44.2, -2.9, 270.5]","[74.1, -36.1, 278.7]","[22.1, 7.8, 249.0]","[23.1, -13.3, 241.9]","[24.7, -39.2, 264.4]","[-25.6, -38.0, 273.8]","[24.4, -63.2, 261.9]","[24.3, -86.8, 254.1]","[95.9, -28.6, 295.8]","[-0.0, -0.0, 0.0]","[89.0, 0.9, 274.4]"
"[-44.0, -2.2, 273.2]","[74.2, -36.1, 279.1]","[22.6, 7.2, 248.2]","[23.8, -13.9, 242.6]","[24.7, -39.8, 264.7]","[-26.3, -37.6, 275.3]","[24.5, -63.4, 262.7]","[23.7, -86.1, 253.8]","[91.9, -27.6, 285.5]","[-44.3, -30.3, 279.4]","[89.4, 1.0, 275.9]"
"[-43.8, -2.2, 272.0]","[74.7, -35.4, 278.7]","[22.6, 7.2, 248.7]","[23.6, -13.2, 241.4]","[25.4, -39.9, 265.3]","[-24.8, -37.8, 272.6]","[24.8, -62.7, 259.7]","[24.4, -87.1, 254.9]","[96.8, -28.2, 298.6]","[-0.0, -0.0, 0.0]","[89.0, 0.9, 274.4]"
"[-43.7, -2.9, 271.7]","[74.2, -36.1, 279.1]","[23.2, 7.8, 248.5]","[23.7, -13.3, 242.1]","[25.1, -39.5, 262.7]","[-24.9, -38.0, 273.5]","[24.5, -62.7, 262.2]","[24.3, -86.2, 254.1]","[0.0, -0.0, 0.0]","[-42.7, -29.6, 272.9]","[89.3, 0.9, 275.6]"
"[-44.2, -2.9, 270.8]","[74.7, -35.4, 278.7]","[23.1, 7.8, 247.5]","[24.3, -13.3, 242.6]","[25.3, -39.2, 264.4]","[-24.9, -38.0, 273.5]","[25.9, -63.2, 264.4]","[24.7, -86.1, 252.0]","[0.0, -0.0, 0.0]","[-44.4, -31.0, 279.7]","[88.8, 0.9, 272.0]"
"[-43.6, -2.9, 271.1]","[74.2, -36.1, 279.1]","[22.6, 7.2, 248.0]","[23.9, -13.4, 244.3]","[24.6, -39.7, 263.9]","[-25.7, -38.2, 275.3]","[24.4, -62.6, 261.9]","[23.7, -86.7, 253.8]","[95.5, -28.5, 294.7]","[-0.0, -0.0, 0.0]","[88.7, 0.9, 273.5]"
"[-43.8, -2.9, 272.0]","[74.9, -36.2, 279.4]","[23.1, 7.8, 248.2]","[24.9, -13.9, 242.8]","[25.7, -39.5, 262.5]","[-24.9, -38.0, 273.5]","[26.0, -64.1, 265.6]","[24.9, -87.4, 254.1]","[97.2, -29.0, 299.7]","[-0.0, -0.0, 0.0]","[89.4, 1.6, 273.8]"
"[-44.4, -2.9, 272.0]","[73.8, -35.7, 275.3]","[22.5, 7.8, 247.2]","[24.4, -13.9, 243.8]","[25.2, -39.7, 263.6]","[-25.7, -38.3, 275.6]","[25.2, -63.8, 264.1]","[24.2, -87.2, 253.3]","[0.0, -0.0, 0.0]","[-44.1, -30.8, 277.8]","[89.2, 0.9, 275.3]"
"[-43.7, -2.9, 271.7]","[73.7, -35.9, 277.2]","[22.5, 7.2, 247.0]","[23.8, -13.3, 242.8]","[24.8, -40.0, 265.6]","[-25.7, -38.3, 275.9]","[24.5, -63.4, 262.7]","[23.7, -87.3, 253.6]","[0.0, -0.0, 0.0]","[-0.0, -0.0, 0.0]","[89.0, 0.9, 274.7]"
"[-44.7, -2.9, 273.5]","[75.3, -36.4, 280.7]","[23.0, 7.2, 247.0]","[24.6, -13.5, 245.5]","[25.2, -39.7, 263.6]","[-25.5, -38.0, 273.5]","[25.4, -64.1, 265.3]","[24.3, -88.1, 254.3]","[96.5, -28.8, 297.6]","[-44.7, -31.2, 281.6]","[90.2, 1.0, 276.3]"
"[-43.7, -2.9, 271.4]","[74.2, -36.1, 279.1]","[22.6, 7.8, 248.7]","[24.0, -14.0, 245.0]","[24.6, -39.7, 264.1]","[-25.6, -38.7, 274.4]","[24.5, -63.3, 262.2]","[24.3, -87.4, 254.1]","[0.0, -0.0, 0.0]","[-45.6, -31.8, 287.2]","[88.2, 0.9, 272.0]"
"[-44.7, -2.9, 273.5]","[75.0, -36.2, 279.7]","[22.5, 7.2, 247.2]","[24.5, -14.0, 244.5]","[25.1, -39.5, 262.5]","[-25.6, -38.1, 274.1]","[25.0, -63.2, 261.9]","[24.4, -87.7, 254.9]","[96.5, -28.8, 297.6]","[-0.0, -0.0, 0.0]","[89.4, 1.0, 275.9]"
"[-43.7, -2.9, 271.4]","[75.4, -36.4, 281.0]","[22.5, 7.8, 247.2]","[23.8, -13.9, 242.8]","[25.2, -39.6, 263.3]","[-25.0, -38.1, 274.7]","[25.3, -63.8, 264.4]","[24.3, -87.6, 254.6]","[95.1, -28.4, 293.3]","[-0.0, -0.0, 0.0]","[88.8, 0.9, 273.8]"
"[-43.8, -2.9, 272.0]","[74.9, -36.8, 279.4]","[23.3, 7.3, 249.7]","[24.4, -13.3, 243.1]","[25.1, -39.5, 262.7]","[-25.6, -38.1, 274.4]","[25.5, -64.3, 266.4]","[24.2, -87.2, 253.3]","[95.5, -28.5, 294.7]","[-0.0, -0.0, 0.0]","[89.0, 0.9, 272.6]"
"[-43.5, -2.8, 270.2]","[74.1, -36.7, 278.7]","[22.5, 7.2, 247.5]","[23.8, -13.9, 243.3]","[25.4, -39.9, 265.3]","[-25.0, -38.1, 274.7]","[24.4, -63.2, 261.9]","[24.3, -87.5, 254.3]","[95.1, -28.6, 295.4]","[-0.0, -0.0, 0.0]","[89.4, 1.0, 275.9]"
"[-43.9, -2.9, 272.9]","[74.5, -37.0, 280.3]","[23.1, 7.2, 248.2]","[24.4, -13.9, 243.1]","[25.1, -39.5, 262.7]","[-24.9, -38.0, 273.8]","[25.2, -63.6, 263.3]","[24.3, -88.2, 254.6]","[94.9, -28.3, 292.6]","[-0.0, -0.0, 0.0]","[88.1, 0.9, 271.7]"
"[-43.7, -2.9, 271.7]","[74.4, -36.9, 280.0]","[23.2, 7.2, 249.0]","[24.6, -14.1, 245.7]","[25.2, -39.7, 263.9]","[-25.1, -38.2, 275.3]","[24.9, -63.5, 260.5]","[24.3, -87.6, 254.6]","[96.6, -29.5, 297.9]","[-43.3, -30.7, 276.9]","[88.7, 0.3, 273.5]"
"[-44.6, -2.9, 273.2]","[74.5, -36.6, 277.8]","[23.1, 7.2, 247.7]","[24.5, -14.0, 244.5]","[25.3, -39.8, 264.7]","[-25.6, -38.1, 274.4]","[25.1, -63.4, 262.7]","[24.4, -88.4, 255.1]","[0.0, -0.0, 0.0]","[-0.0, -0.0, 0.0]","[90.1, 1.0, 275.9]"
"[-43.9, -2.9, 272.6]","[73.8, -35.9, 277.5]","[22.4, 7.7, 246.5]","[24.0, -14.0, 245.3]","[25.1, -39.6, 263.0]","[-24.8, -37.9, 272.9]","[25.0, -63.8, 261.9]","[24.3, -88.0, 254.1]","[96.6, -28.9, 297.9]","[-0.0, -0.0, 0.0]","[88.8, 0.9, 273.8]"
"[-44.8, -2.9, 274.1]","[74.5, -36.0, 277.8]","[23.1, 7.2, 248.2]","[24.6, -14.0, 245.5]","[25.1, -39.5, 262.2]","[-25.7, -38.3, 275.6]","[25.1, -63.4, 262.7]","[24.3, -88.0, 254.1]","[96.6, -28.9, 297.9]","[-0.0, -0.0, 0.0]","[90.2, 1.0, 276.3]"
"[-43.7, -2.9, 271.7]","[75.2, -35.4, 278.1]","[22.5, 7.2, 247.7]","[23.9, -13.9, 243.8]","[25.1, -39.5, 262.7]","[-24.9, -38.6, 273.8]","[25.2, -64.2, 263.3]","[24.8, -87.8, 253.6]","[95.2, -27.8, 293.7]","[-0.0, -0.0, 0.0]","[89.8, 1.6, 275.0]"
"[-43.9, -2.9, 272.9]","[73.5, -35.8, 276.6]","[22.5, 7.8, 247.7]","[23.8, -13.9, 243.1]","[25.1, -39.6, 263.0]","[-25.6, -38.1, 274.7]","[25.0, -63.0, 261.1]","[24.3, -87.4, 254.1]","[92.6, -27.9, 287.8]","[-43.6, -30.9, 278.7]","[88.5, 1.6, 272.9]"
"[-43.7, -2.9, 271.4]","[74.3, -36.5, 277.2]","[23.1, 7.8, 248.2]","[24.3, -13.3, 242.6]","[25.1, -39.5, 262.5]","[-25.0, -38.7, 274.4]","[25.1, -63.4, 262.7]","[24.9, -88.2, 254.6]","[94.2, -28.1, 290.6]","[-0.0, -0.0, 0.0]","[89.3, 0.9, 273.5]"
"[-43.9, -2.9, 272.6]","[74.6, -36.7, 278.1]","[23.1, 7.8, 247.2]","[23.8, -13.3, 243.3]","[25.2, -39.6, 263.3]","[-25.7, -38.3, 275.9]","[24.8, -62.7, 259.7]","[24.3, -88.0, 254.1]","[96.8, -29.4, 296.5]","[-44.6, -31.2, 281.3]","[90.0, 0.9, 275.6]"
"[-43.8, -2.9, 272.0]","[74.6, -36.0, 278.1]","[23.0, 7.7, 246.2]","[24.5, -13.4, 244.3]","[25.1, -39.5, 262.7]","[-25.6, -38.1, 274.1]","[25.1, -63.5, 263.0]","[24.3, -87.5, 254.3]","[94.4, -28.2, 291.2]","[-0.0, -0.0, 0.0]","[90.4, 1.0, 276.9]"
"[-44.2, -2.9, 274.7]","[74.3, -35.9, 277.2]","[23.1, 7.2, 248.0]","[24.3, -13.9, 242.4]","[25.1, -39.6, 263.0]","[-25.6, -38.1, 274.1]","[25.3, -63.8, 264.4]","[24.3, -88.0, 254.1]","[96.2, -28.7, 296.8]","[-0.0, -0.0, 0.0]","[87.8, 0.9, 270.8]"
"[-43.9, -3.5, 272.9]","[75.0, -36.9, 279.7]","[22.6, 7.2, 248.2]","[23.8, -13.9, 242.6]","[25.0, -39.4, 261.6]","[-24.9, -38.6, 273.5]","[25.0, -63.2, 261.9]","[24.2, -87.6, 253.0]","[95.4, -29.2, 294.4]","[-42.4, -30.7, 271.1]","[90.0, 0.9, 275.6]"
"[-43.9, -2.9, 272.9]","[73.6, -36.5, 276.9]","[23.1, 7.2, 248.2]","[24.6, -14.0, 245.0]","[25.2, -39.7, 264.1]","[-25.6, -38.8, 274.7]","[24.5, -63.9, 262.2]","[24.3, -88.1, 254.3]","[96.9, -29.7, 299.0]","[-44.4, -31.0, 279.7]","[88.8, 0.3, 273.8]"
"[-43.8, -2.2, 272.3]","[75.7, -36.9, 279.7]","[23.2, 7.8, 249.2]","[23.8, -13.3, 243.3]","[25.1, -39.6, 263.0]","[-24.8, -37.9, 272.9]","[25.1, -64.0, 262.5]","[24.3, -87.9, 253.8]","[95.7, -29.1, 293.0]","[-42.2, -29.9, 269.9]","[90.7, 1.0, 275.9]"
"[-43.6, -2.2, 271.1]","[74.6, -36.0, 278.1]","[23.7, 7.8, 248.0]","[24.4, -13.4, 243.8]","[25.0, -39.3, 261.1]","[-25.6, -38.1, 274.7]","[25.1, -63.5, 263.0]","[24.1, -87.5, 252.5]","[95.9, -28.6, 295.8]","[-0.0, -0.0, 0.0]","[89.6, 0.9, 274.4]"
"[-43.9, -2.2, 272.9]","[74.9, -36.8, 279.4]","[23.9, 7.3, 249.5]","[24.5, -14.0, 244.8]","[25.1, -39.5, 262.5]","[-25.5, -38.0, 273.5]","[24.4, -63.0, 261.1]","[23.7, -87.3, 253.6]","[0.0, -0.0, 0.0]","[-0.0, -0.0, 0.0]","[89.1, -0.3, 272.9]"
"[-44.5, -2.2, 272.3]","[73.8, -37.2, 277.5]","[24.8, 7.2, 247.7]","[25.6, -13.9, 243.6]","[25.6, -39.4, 261.6]","[-25.6, -38.1, 274.1]","[25.0, -63.2, 261.6]","[23.7, -87.8, 253.6]","[97.3, -30.5, 300.1]","[-0.0, -0.0, 0.0]","[90.1, -0.3, 275.9]"
"[-44.4, -1.6, 272.0]","[75.1, -38.6, 282.6]","[25.6, 6.7, 249.7]","[25.5, -13.9, 242.8]","[25.3, -39.8, 264.4]","[-25.6, -38.0, 273.8]","[24.5, -63.3, 262.2]","[23.0, -86.9, 252.5]","[95.8, -30.7, 295.4]","[-0.0, -0.0, 0.0]","[93.2, -1.7, 281.3]"
"[-43.8, -1.0, 272.3]","[73.7, -37.2, 277.2]","[24.4, 6.7, 248.7]","[25.3, -14.7, 246.5]","[25.0, -39.4, 261.6]","[-25.6, -37.5, 274.4]","[24.4, -63.2, 261.9]","[23.1, -87.3, 253.6]","[95.0, -29.7, 293.0]","[-0.0, -0.0, 0.0]","[90.4, -1.0, 275.0]"
"[-44.0, -1.6, 273.5]","[73.1, -37.2, 277.5]","[24.4, 7.2, 248.7]","[25.3, -13.5, 246.5]","[25.1, -39.5, 262.2]","[-24.9, -38.1, 274.1]","[23.9, -63.4, 262.7]","[23.0, -87.0, 252.8]","[95.4, -30.1, 296.5]","[-0.0, -0.0, 0.0]","[90.9, -1.6, 276.3]"
"[-43.7, -1.0, 271.7]","[74.1, -37.4, 278.7]","[24.9, 7.2, 248.5]","[25.1, -14.0, 245.0]","[25.1, -39.5, 262.7]","[-24.9, -37.4, 274.1]","[24.5, -63.5, 263.0]","[23.1, -87.4, 254.1]","[95.7, -30.0, 295.1]","[-0.0, -0.0, 0.0]","[90.7, -1.0, 273.8]"
